Timestamp,I often study in Dibner,I prefer to study in groups,I spend most of my time studying alone,I wish I knew more students in my courses to study with,I am interested in meeting fellow classmates,I feel that discussion and explaining to one another is an effective form of studying,"I use (check out, read, etc.) books at Dibner Library",I have trouble navigating through Dibner Library,I use LibCal,Level of Study
10/13/2019 18:05:40,3,3,2,3,3,3,2,1,Yes,Graduate
10/13/2019 18:09:03,3,3,2,4,3,4,1,2,Yes,Graduate
10/13/2019 18:09:55,3,4,2,1,1,4,4,1,Yes,Graduate
10/13/2019 18:12:32,3,2,4,2,3,3,1,1,No,Graduate
10/13/2019 18:45:25,4,2,3,3,4,4,1,2,No,Graduate
10/13/2019 19:59:18,2,2,2,3,3,4,3,2,Yes,Graduate
10/13/2019 20:40:07,3,3,3,3,4,4,2,3,No,Graduate
10/13/2019 21:23:23,4,4,2,3,3,4,3,1,Yes,Graduate
10/13/2019 22:55:51,2,2,3,3,3,4,2,2,Yes,Graduate
10/14/2019 0:13:16,3,3,3,4,4,4,4,4,No,Graduate
10/17/2019 13:08:43,1,2,4,2,3,4,1,1,No,Graduate
10/21/2019 14:12:28,1,3,3,4,4,4,1,2,No,Graduate
10/21/2019 14:16:13,1,3,4,4,4,4,1,2,No,Graduate
10/21/2019 14:22:49,2,4,3,4,4,3,4,2,No,Undergraduate
10/21/2019 14:27:01,1,2,3,3,3,3,1,2,No,Undergraduate
10/21/2019 14:29:49,2,3,1,4,4,4,2,2,No,Undergraduate
10/21/2019 14:34:19,1,1,4,2,4,4,1,4,Yes,Undergraduate
10/21/2019 14:35:01,1,2,3,4,3,3,1,1,No,Undergraduate
10/21/2019 14:40:30,2,2,3,2,1,3,1,1,Yes,Undergraduate
10/21/2019 15:36:29,3,2,3,2,2,4,1,1,Yes,Undergraduate
10/22/2019 13:55:12,4,1,4,2,3,3,2,3,Yes,Graduate
10/22/2019 13:55:16,1,3,4,2,2,4,1,1,Yes,Graduate
10/22/2019 13:56:01,3,4,3,4,4,4,2,2,Yes,Graduate
10/22/2019 13:56:41,3,4,2,4,4,4,2,1,Yes,Graduate
10/22/2019 13:57:08,3,4,1,1,4,4,3,2,Yes,Graduate
10/22/2019 13:59:32,1,2,4,2,3,4,1,1,No,Graduate
10/22/2019 13:59:54,2,4,2,1,1,4,1,1,Yes,Graduate
10/22/2019 13:59:57,1,2,4,2,3,3,3,2,No,Graduate
10/22/2019 14:00:23,4,1,1,1,3,1,4,4,No,Graduate
10/22/2019 14:01:26,4,2,4,4,4,4,1,4,Yes,Graduate
10/22/2019 14:02:42,1,2,4,2,3,3,1,1,Yes,Graduate
10/22/2019 14:05:52,2,1,4,2,2,4,4,2,No,Graduate
10/22/2019 14:08:16,4,2,4,4,4,4,4,1,Yes,Graduate
10/22/2019 14:09:36,1,3,2,4,4,4,1,4,Yes,Graduate
10/22/2019 14:10:33,3,2,4,4,4,4,3,3,No,Graduate
10/22/2019 14:10:59,4,4,2,2,4,4,4,4,Yes,Graduate
10/22/2019 14:11:18,4,2,3,4,4,4,1,1,Yes,Graduate
10/22/2019 14:11:30,3,3,4,2,1,4,3,3,Yes,Graduate
10/22/2019 14:12:35,3,4,1,2,3,4,1,2,No,Graduate
10/22/2019 14:12:50,3,1,4,3,3,3,1,2,Yes,Graduate
10/22/2019 14:14:08,1,2,3,2,1,3,1,1,Yes,Graduate
10/22/2019 14:19:23,3,3,2,2,2,4,2,1,No,Graduate
10/22/2019 14:19:30,4,1,4,2,3,3,3,4,Yes,Graduate
10/22/2019 14:27:47,4,4,2,4,4,4,1,1,Yes,Graduate
10/22/2019 14:36:03,2,1,4,4,4,4,3,3,No,Graduate
10/22/2019 14:43:04,3,2,4,3,3,3,2,2,Yes,Graduate
10/22/2019 14:43:09,1,1,4,4,4,4,1,1,No,Graduate
10/22/2019 14:44:57,2,3,2,4,3,3,2,2,No,Graduate
10/22/2019 14:45:19,4,1,4,2,3,4,4,3,Yes,Graduate
10/22/2019 14:50:44,3,3,2,4,4,4,2,2,No,Graduate
10/22/2019 15:06:09,2,1,4,3,3,4,3,1,No,Graduate
10/22/2019 15:24:06,4,4,1,2,2,4,1,3,Yes,Graduate
10/22/2019 15:24:53,2,1,4,1,3,2,1,1,No,Graduate
10/22/2019 16:03:41,3,1,3,3,3,4,1,1,No,Graduate
10/22/2019 17:58:46,1,2,4,3,3,4,1,2,No,Graduate
10/22/2019 18:13:50,3,2,2,3,3,4,1,3,No,Graduate
10/22/2019 20:24:18,3,2,4,4,4,4,1,2,Yes,Graduate
10/22/2019 21:08:50,4,2,4,3,3,4,3,2,Yes,Graduate
10/22/2019 22:08:26,2,3,2,4,4,4,2,1,Yes,Graduate
10/22/2019 23:06:47,3,3,3,2,3,3,2,2,No,Graduate
10/23/2019 0:26:08,3,4,1,4,4,4,2,1,No,Graduate
10/23/2019 18:59:18,1,1,4,2,3,4,1,3,No,Graduate
10/23/2019 23:28:27,2,1,4,2,2,1,1,1,Yes,Graduate
10/24/2019 0:58:54,2,3,4,4,4,4,1,2,Yes,Graduate
10/27/2019 15:15:37,4,1,4,1,3,4,4,1,Yes,Graduate
